timestamp,left_elevon_ted_cdeg,right_elevon_ted_cdeg,lower_rudder_tel_cdeg,upper_rudder_tel_cdeg,left_tvc_upper_cdeg,left_tvc_lower_cdeg,right_tvc_upper_cdeg,right_tvc_lower_cdeg,left_engine_prct_thrust,right_engine_prct_thrust
3316738,0,0,0,0,-542.16486,-237.5951,-115.82255,-611.2528,7.8810306,7.8810306
3316740,0,0,0,0,-531.81555,-226.59872,-100.62804,-595.4112,7.8810306,7.8810306
3316742,0,0,0,0,-523.775,-220.86365,-92.312386,-589.401,7.8810306,7.8810306
3316744,0,0,0,0,-517.2789,-217.12944,-86.21799,-586.0686,7.8810306,7.8810306
3316746,0,0,0,0,-522.89777,-224.17137,-92.77305,-594.0467,7.8810306,7.8810306
3316748,0,0,0,0,-536.8306,-235.65276,-103.25598,-602.0781,7.8810306,7.8810306
3316750,0,0,0,0,-542.2279,-240.0581,-110.981804,-608.812,7.8810306,7.8810306
3316752,0,0,0,0,-537.6428,-236.00154,-109.16356,-607.5223,7.8810306,7.8810306
3316754,0,0,0,0,-530.8306,-229.62811,-101.28811,-600.08563,7.8810306,7.8810306
3316756,0,0,0,0,-526.78674,-227.00565,-92.35646,-592.5754,7.8810306,7.8810306
3316758,0,0,0,0,-523.74286,-216.09084,-90.520584,-582.8685,7.8810306,7.8810306
3316760,0,0,0,0,-519.195,-221.90445,-93.82254,-596.532,7.8810306,7.8810306
3316762,0,0,0,0,-530.27936,-234.78146,-98.42258,-602.9247,7.8810306,7.8810306
3316764,0,0,0,0,-536.9245,-239.78003,-111.4275,-614.283,7.8810306,7.8810306
3316766,0,0,0,0,-538.6676,-237.9687,-118.23801,-617.5391,7.8810306,7.8810306
3316768,0,0,0,0,-533.99493,-227.53835,-105.13427,-598.6777,7.8810306,7.8810306
3316770,0,0,0,0,-526.2927,-222.48824,-93.76106,-589.9566,7.8810306,7.8810306
3316772,0,0,0,0,-515.56757,-212.64723,-90.73715,-587.8168,7.8810306,7.8810306
3316774,0,0,0,0,-519.75305,-223.52705,-88.18872,-591.9627,7.8810306,7.8810306
3316776,0,0,0,0,-525.50507,-236.76807,-89.09489,-600.35785,7.8810306,7.8810306
3316778,0,0,0,0,-541.15936,-243.823,-103.81401,-606.47766,7.8810306,7.8810306
3316780,0,0,0,0,-537.0236,-239.94923,-111.07467,-614.00024,7.8810306,7.8810306
3316782,0,0,0,0,-536.2252,-234.36612,-111.18696,-609.3279,7.8810306,7.8810306
3316784,0,0,0,0,-529.20685,-223.99178,-101.31379,-596.0987,7.8810306,7.8810306
3316786,0,0,0,0,-520.01514,-221.13562,-90.915215,-592.0357,7.8810306,7.8810306
3316788,0,0,0,0,-519.4365,-225.67723,-83.998,-590.2387,7.8810306,7.8810306
3316790,0,0,0,0,-522.9048,-225.47794,-90.010765,-592.58386,7.8810306,7.8810306
3316792,0,0,0,0,-525.2758,-230.46626,-96.267525,-601.45795,7.8810306,7.8810306
3316794,0,0,0,0,-534.1004,-247.85657,-99.48243,-613.2386,7.8810306,7.8810306
3316796,0,0,0,0,-542.0828,-244.23117,-112.40661,-614.555,7.8810306,7.8810306
3316798,0,0,0,0,-545.4363,-238.37764,-122.693756,-615.63513,7.8810306,7.8810306
3316800,0,0,0,0,-534.4939,-229.0186,-105.98756,-600.51227,7.8810306,7.8810306
3316802,0,0,0,0,-524.8199,-220.34708,-92.16781,-587.695,7.8810306,7.8810306
3316804,0,0,0,0,-509.53665,-210.95827,-83.87409,-585.2957,7.8810306,7.8810306
3316806,0,0,0,0,-512.366,-211.64417,-91.43611,-590.71423,7.8810306,7.8810306
3316808,0,0,0,0,-529.83545,-234.17093,-98.310486,-602.64594,7.8810306,7.8810306
3316810,0,0,0,0,-552.74817,-245.98264,-115.32558,-608.56006,7.8810306,7.8810306
3316812,0,0,0,0,-556.3963,-241.37189,-132.362,-617.3376,7.8810306,7.8810306
3316814,0,0,0,0,-543.8583,-235.5361,-113.0166,-604.6944,7.8810306,7.8810306
3316816,0,0,0,0,-521.6621,-227.32712,-86.8455,-592.5105,7.8810306,7.8810306
3316818,0,0,0,0,-511.30377,-211.0801,-79.70856,-579.48486,7.8810306,7.8810306
3316820,0,0,0,0,-508.048,-212.56781,-76.70202,-581.2218,7.8810306,7.8810306
3316822,0,0,0,0,-520.2397,-229.2601,-87.81415,-596.8346,7.8810306,7.8810306
3316824,0,0,0,0,-542.36664,-242.79309,-108.46545,-608.89185,7.8810306,7.8810306
3316826,0,0,0,0,-545.85626,-249.64868,-115.84312,-619.6355,7.8810306,7.8810306
3316828,0,0,0,0,-541.3224,-246.15173,-114.05411,-618.8835,7.8810306,7.8810306
3316830,0,0,0,0,-533.1198,-229.54253,-100.8698,-597.29254,7.8810306,7.8810306
3316832,0,0,0,0,-518.2315,-212.97798,-89.840675,-584.58716,7.8810306,7.8810306
